id,locality_code,city_code,zip,name,country_id
73026,73026,73083,3700,HENIS,base.be
73027,73027,73066,3770,HERDEREN,base.be
73028,73028,73028,3717,HERSTAPPE,base.be
73029,73029,73098,3831,HERTEN,base.be
73030,73030,73006,3746,HOELBEEK,base.be
73031,73031,73009,3840,HOEPERIGEN,base.be
73032,73032,73032,3730,HOESELT,base.be
73033,73033,73024,3870,HORPMAAL,base.be
73034,73034,73083,3840,JESSEREN,base.be
73035,73035,73066,3770,KANNE,base.be
73036,73036,73009,3840,KERNIEL,base.be
1,2,3,4,JURA,base.fr
3,3,3,3,LONDON,base.gb
